prestamo_id,ref,colgado,cobrador_id,cliente_id
84388c07-7c62-4b7a-a046-5e5fd22ceb31,PRD0003407234,19600,9cd17f87-b8fd-49c5-8787-74b3217d306a,ff19e1dc-822d-4f00-84b2-a2999dd08718
d40d1055-ae52-4575-983f-ce4072d07e46,PRD0003283515,16369,9cd17f87-b8fd-49c5-8787-74b3217d306a,3c20ce8d-1901-4560-a956-4c7696343672
fc158403-6390-4b07-a4a2-0486e0c4d339,PRD0003250445,16250,9cd17f87-b8fd-49c5-8787-74b3217d306a,f2d51064-2372-4007-8ee0-0aa6912d9ab6
67ed7f97-026f-4d05-b6fd-1ef697a366f4,PRD0003275628,15590,9cd17f87-b8fd-49c5-8787-74b3217d306a,e539b7aa-10f9-4bef-bdbf-06687041604a
55b27701-fdbb-42cf-b477-2d32eb337e0e,PRD0003251636,12460,9cd17f87-b8fd-49c5-8787-74b3217d306a,4adf2485-201e-4254-9e8a-d863976b464d
0ed3ed3a-28c3-4c35-a8aa-9c00b0ec6e30,PRD0003262938,5700,9cd17f87-b8fd-49c5-8787-74b3217d306a,95763225-b399-415b-a199-197d38805a4f
0659f178-2d39-4eed-855e-267f092a7784,PRD0003281592,4950,9cd17f87-b8fd-49c5-8787-74b3217d306a,edb8fe1c-7edf-427b-95d6-5b8ccde2efc0
ecdf1000-69f2-435a-9241-83e770b15b19,PRD0003313490,3210,9cd17f87-b8fd-49c5-8787-74b3217d306a,248a9117-3d81-4639-9d02-d6159233b4e8
518bd65b-5c72-4f44-a6df-4d373e2301c4,PRD0003133689,3000,9cd17f87-b8fd-49c5-8787-74b3217d306a,6ecdd052-8968-4049-8ee6-c95ff37cd91e
87a792dd-8826-4848-98da-2ac3d2999395,PRD0003145512,3,f1a301ec-5c26-4856-9613-5c17b9cc1971,eb5b0da4-94aa-4b20-a4a8-350079269c71
